nb_hyphens,nb_underscore,nb_percent,onmouseover,iframe,google_index,safe_anchor,nb_redirection,punycode,page_rank,longest_words_raw,port,nb_star,avg_word_host,nb_colon,statistical_report,whois_registered_domain,tld_in_subdomain,ratio_intMedia,nb_hyperlinks,web_traffic,ip,brand_in_path,popup_window,empty_title,https_token,ratio_intHyperlinks,ratio_extHyperlinks,nb_tilde,nb_at,nb_space,random_domain,nb_subdomains,tld_in_path,shortening_service,links_in_tags,length_words_raw,nb_dots,phish_hints,shortest_word_host,longest_word_host,length_hostname,nb_and,path_extension,nb_semicolumn,domain_registration_length,domain_in_title,avg_words_raw,nb_comma,domain_with_copyright,abnormal_subdomain,nb_www,nb_com,dns_record,nb_external_redirection,nb_dslash,char_repeat,ratio_digits_url,external_favicon,shortest_word_path,prefix_suffix,nb_slash,shortest_words_raw,nb_extCSS,longest_word_path,suspecious_tld,ratio_digits_host,brand_in_subdomain,login_form,length_url,http_in_path,ratio_extRedirection,ratio_extMedia,avg_word_path,ratio_extErrors,nb_eq,nb_dollar,domain_age,nb_qm,domain_in_brand,right_clic,class_status
0,0,0,0,0,1,0.0,0,0,4,11,0,0,7.0,1,0,0,0,100.0,17,0,0,0,0,0,1,0.529411765,0.470588235,0,0,0,0,3,0,0,80.0,4,3,0,3,11,19,0,0,0,45,0,5.75,0,1,0,1,0,1,0,0,4,0.0,0,3,0,3,3,0,6,0,0.0,0,0,37,0,0.875,0.0,4.5,0.5,0,0,-1,0,0,0,0
0,0,0,0,0,1,100.0,1,0,2,32,0,0,19.0,1,0,0,0,80.0,30,0,1,0,0,0,1,0.966666667,0.033333333,0,0,0,0,1,0,0,100.0,4,1,0,19,19,23,0,0,0,77,1,15.75,0,0,0,0,0,0,0,0,4,0.220779221,0,2,0,5,2,0,32,0,0.0,0,0,77,0,0.0,20.0,14.66666667,0.0,0,0,5767,0,0,0,1
1,2,0,0,0,1,100.0,1,0,0,17,0,0,8.4,1,0,0,1,0.0,4,5828815,1,0,0,0,0,1.0,0.0,0,0,0,0,3,0,0,100.0,12,4,0,3,13,50,2,0,0,14,1,8.25,0,0,0,0,1,0,0,0,2,0.150793651,0,2,1,5,2,0,17,0,0.0,0,0,126,0,0.0,0.0,8.142857142999999,0.0,3,0,4004,1,0,0,1
0,0,0,0,0,0,62.5,1,0,3,5,0,0,5.0,1,0,0,0,96.42857143,149,107721,0,0,0,0,1,0.973154362,0.026845638,0,0,0,0,2,0,0,100.0,1,2,0,5,5,11,0,0,0,62,1,5.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,2,5,0,0,0,0.0,0,0,18,0,0.25,3.571428571,0.0,0.25,0,0,-1,0,0,0,0
2,0,0,0,0,0,0.0,1,0,6,11,0,0,5.0,1,0,0,0,0.0,102,8725,0,0,0,0,1,0.470588235,0.529411765,0,0,0,0,2,0,0,76.47058824,6,2,0,3,7,15,0,0,0,224,0,6.333333333,0,1,0,1,0,0,0,0,3,0.0,0,4,0,5,3,0,11,0,0.0,0,1,55,0,0.537037037,100.0,7.0,0.018518519,0,0,8175,0,0,0,0
1,0,0,0,0,1,0.0,1,0,0,7,0,0,4.5,1,0,1,0,0.0,10,0,0,0,0,0,1,0.3,0.7,0,0,0,0,3,0,0,100.0,4,3,0,3,7,24,0,0,0,0,1,4.5,0,1,0,0,1,0,0,0,3,0.0,0,0,1,3,3,0,0,0,0.0,0,0,32,0,0.571428571,0.0,0.0,0.0,0,0,-1,0,0,0,1
0,0,0,0,0,0,100.0,1,0,1,5,0,0,4.0,1,0,0,0,0.0,98,0,0,0,0,0,1,0.081632653,0.918367347,0,0,0,0,2,0,0,0.0,2,2,0,3,5,12,0,0,0,170,0,4.0,0,1,0,1,0,0,0,0,3,0.0,1,0,0,2,3,10,0,0,0.0,0,0,19,0,0.0,100.0,0.0,0.0,0,0,7529,0,0,0,0
0,0,0,0,0,1,100.0,1,0,2,32,0,0,11.0,1,0,0,0,80.0,30,0,1,0,0,0,1,0.966666667,0.033333333,0,0,0,0,2,0,0,100.0,5,2,0,3,19,27,0,0,0,76,1,13.2,0,0,0,1,0,0,0,0,8,0.259259259,0,2,0,5,2,0,32,0,0.0,0,0,81,0,0.0,20.0,14.66666667,0.0,0,0,5767,0,0,0,1
0,0,0,0,0,0,27.27272727,0,0,5,21,0,0,14.5,1,0,0,0,0.0,63,0,0,0,0,0,1,0.206349206,0.793650794,0,0,0,0,2,0,1,0.0,2,2,0,8,21,34,0,0,0,371,1,14.5,0,1,0,0,0,0,0,0,0,0.0,1,0,0,3,8,3,0,0,0.0,0,0,42,0,0.38,100.0,0.0,0.0,0,0,7298,0,1,0,0
10,0,0,0,0,0,58.13953488,0,0,5,10,0,0,6.0,1,0,0,0,10.0,140,6774,0,0,0,0,0,0.7785714290000001,0.221428571,0,0,0,0,1,0,0,93.10344828,14,1,1,6,6,10,0,0,0,128,1,5.571428571,0,0,0,0,0,0,0,0,0,0.076923077,1,2,0,6,2,1,10,0,0.0,0,0,104,0,0.193548387,90.0,5.538461538,0.0,0,0,9368,0,0,0,0
